37	203050901
37	1610897565
37	1926703596
37	1983428783
37	2037594219
37	2037636494
37	2087982311
37	2092363726
37	2232592944
37	2313072105
108	583459574
108	643248926
108	1520342355
108	1580980889
108	1603043449
108	2155007194
108	2507231141
125	1564733196
125	1970185999
125	2048600620
125	2098055837
125	2121773050
138	2248661014
147	132242577
147	1973725016
147	2084894991
147	2091764496
147	2156953029
197	159684453
197	1989071300
197	1997169500
197	2063600874
197	2069451240
197	2108577913
197	2137678865
197	2323584920
266	130047935
266	2237031874
266	2243522839
285	1492699563
285	1520371289
285	1763172769
285	1858297169
285	1964727676
285	1995469248
285	2013408108
285	2015737426
285	2016542542
285	2018972369
285	2040316568
